Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
04:19.3,498.519,04:19.3,294.318,04:19.3,1.6843
04:19.4,498.517,04:19.4,294.395,04:19.4,1.68369
04:19.5,498.378,04:19.5,294.375,04:19.5,1.68397
04:19.6,498.394,04:19.6,294.474,04:19.6,1.68423
04:19.7,498.532,04:19.7,294.413,04:19.7,1.68392
04:19.8,498.391,04:19.8,294.298,04:19.8,1.68363
04:19.9,498.419,04:19.9,294.488,04:19.9,1.68455
04:20.0,498.477,04:20.0,294.476,04:20.0,1.68391
04:20.1,498.475,04:20.1,294.265,04:20.1,1.68428
04:20.2,498.465,04:20.2,294.423,04:20.2,1.68425
04:20.3,498.542,04:20.3,294.552,04:20.3,1.68407
04:20.4,498.301,04:20.4,294.556,04:20.4,1.68416
04:20.5,498.387,04:20.5,294.249,04:20.5,1.68448
04:20.6,498.451,04:20.6,294.514,04:20.6,1.68404
04:20.7,498.441,04:20.7,294.443,04:20.7,1.68395
04:20.8,498.43,04:20.8,294.482,04:20.8,1.68488
04:20.9,498.489,04:20.9,294.477,04:20.9,1.68404
04:21.0,498.479,04:21.0,294.584,04:21.0,1.68375
04:21.1,498.35,04:21.1,294.091,04:21.1,1.68418
04:21.2,498.411,04:21.2,294.299,04:21.2,1.68394
04:21.3,498.329,04:21.3,294.518,04:21.3,1.68385
04:21.4,498.436,04:21.4,294.46,04:21.4,1.68358
04:21.5,498.325,04:21.5,294.519,04:21.5,1.68406
04:21.6,498.344,04:21.6,294.353,04:21.6,1.68433
04:21.7,498.411,04:21.7,294.42,04:21.7,1.68397
04:21.8,498.333,04:21.8,294.353,04:21.8,1.68388
04:21.9,498.435,04:21.9,294.647,04:21.9,1.6849
04:22.0,498.512,04:22.0,294.508,04:22.0,1.68428
