Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
17:01.8,502.436,17:01.8,330.69,17:01.8,1.99085
17:01.9,502.523,17:01.9,330.818,17:01.9,1.99038
17:02.0,502.503,17:02.0,330.894,17:02.0,1.991
17:02.1,502.515,17:02.1,330.86,17:02.1,1.99081
17:02.2,502.51,17:02.2,330.777,17:02.2,1.99028
17:02.3,502.533,17:02.3,330.857,17:02.3,1.99072
17:02.4,502.58,17:02.4,330.857,17:02.4,1.99025
17:02.5,502.414,17:02.5,330.832,17:02.5,1.99061
17:02.6,502.538,17:02.6,330.807,17:02.6,1.99122
17:02.7,502.55,17:02.7,330.795,17:02.7,1.99081
17:02.8,502.421,17:02.8,330.826,17:02.8,1.99071
17:02.9,502.563,17:02.9,330.853,17:02.9,1.9901
17:03.0,502.474,17:03.0,330.813,17:03.0,1.99068
17:03.1,502.487,17:03.1,330.89,17:03.1,1.99093
17:03.2,502.46,17:03.2,330.795,17:03.2,1.99092
17:03.3,502.483,17:03.3,330.813,17:03.3,1.99072
17:03.4,502.359,17:03.4,330.858,17:03.4,1.99054
17:03.5,502.446,17:03.5,330.863,17:03.5,1.99063
17:03.6,502.449,17:03.6,330.837,17:03.6,1.99107
17:03.7,502.429,17:03.7,330.543,17:03.7,1.99079
17:03.8,502.445,17:03.8,330.735,17:03.8,1.99057
17:03.9,502.542,17:03.9,330.888,17:03.9,1.99055
17:04.0,502.388,17:04.0,330.772,17:04.0,1.99033
17:04.1,502.422,17:04.1,330.849,17:04.1,1.99072
17:04.2,502.441,17:04.2,330.691,17:04.2,1.9904
17:04.3,502.497,17:04.3,330.712,17:04.3,1.99032
17:04.4,502.489,17:04.4,330.707,17:04.4,1.99061
17:04.5,502.434,17:04.5,330.855,17:04.5,1.99072
17:04.6,502.56,17:04.6,330.742,17:04.6,1.99055
17:04.7,502.499,17:04.7,330.639,17:04.7,1.99123
17:04.8,502.456,17:04.8,330.936,17:04.8,1.99055
17:04.9,502.471,17:04.9,330.865,17:04.9,1.99035
17:05.0,502.518,17:05.0,330.89,17:05.0,1.99074
17:05.1,502.43,17:05.1,330.775,17:05.1,1.99097
17:05.2,502.458,17:05.2,330.707,17:05.2,1.99106
17:05.3,502.517,17:05.3,331.015,17:05.3,1.991
17:05.4,502.444,17:05.4,330.805,17:05.4,1.99106
17:05.5,502.487,17:05.5,330.773,17:05.5,1.99084
17:05.6,502.461,17:05.6,330.64,17:05.6,1.99082
17:05.7,502.455,17:05.7,330.664,17:05.7,1.99052
17:05.8,502.428,17:05.8,330.639,17:05.8,1.9906
17:05.9,502.409,17:05.9,330.825,17:05.9,1.99045
17:06.0,502.515,17:06.0,330.786,17:06.0,1.99051
17:06.1,502.384,17:06.1,330.736,17:06.1,1.99076
17:06.2,502.442,17:06.2,330.922,17:06.2,1.99091
17:06.3,502.447,17:06.3,330.792,17:06.3,1.99088
17:06.4,502.418,17:06.4,330.691,17:06.4,1.99065
17:06.5,502.372,17:06.5,330.761,17:06.5,1.99073
17:06.6,502.465,17:06.6,330.705,17:06.6,1.9908
17:06.7,502.457,17:06.7,330.813,17:06.7,1.99143
17:06.8,502.336,17:06.8,330.803,17:06.8,1.99063
17:06.9,502.305,17:06.9,330.656,17:06.9,1.99127
17:07.0,502.45,17:07.0,330.683,17:07.0,1.99123
17:07.1,502.433,17:07.1,330.654,17:07.1,1.99102
17:07.2,502.343,17:07.2,330.714,17:07.2,1.9908
17:07.3,502.445,17:07.3,330.617,17:07.3,1.99074
17:07.4,502.44,17:07.4,330.745,17:07.4,1.991
17:07.5,502.435,17:07.5,330.825,17:07.5,1.99042
17:07.6,502.453,17:07.6,330.796,17:07.6,1.99064
17:07.7,502.435,17:07.7,330.666,17:07.7,1.99078
17:07.8,502.402,17:07.8,330.735,17:07.8,1.99049
17:07.9,502.381,17:07.9,330.838,17:07.9,1.9904
17:08.0,502.383,17:08.0,330.77,17:08.0,1.99112
17:08.1,502.492,17:08.1,330.524,17:08.1,1.99094
17:08.2,502.402,17:08.2,330.795,17:08.2,1.9905
17:08.3,502.386,17:08.3,330.865,17:08.3,1.99069
17:08.4,502.418,17:08.4,331.027,17:08.4,1.99051
17:08.5,502.443,17:08.5,330.675,17:08.5,1.99087
17:08.6,502.461,17:08.6,330.644,17:08.6,1.991
17:08.7,502.47,17:08.7,330.787,17:08.7,1.99112
17:08.8,502.462,17:08.8,330.838,17:08.8,1.99068
17:08.9,502.464,17:08.9,330.676,17:08.9,1.99083
17:09.0,502.448,17:09.0,330.763,17:09.0,1.9909
17:09.1,502.375,17:09.1,330.864,17:09.1,1.99098
17:09.2,502.405,17:09.2,330.7,17:09.2,1.99088
17:09.3,502.319,17:09.3,330.817,17:09.3,1.99074
17:09.4,502.483,17:09.4,330.746,17:09.4,1.9908
17:09.5,502.405,17:09.5,330.922,17:09.5,1.99023
17:09.6,502.455,17:09.6,330.781,17:09.6,1.99095
17:09.7,502.485,17:09.7,330.631,17:09.7,1.99036
17:09.8,502.39,17:09.8,330.719,17:09.8,1.99129
17:09.9,502.427,17:09.9,330.671,17:09.9,1.99117
17:10.0,502.359,17:10.0,330.903,17:10.0,1.99062
17:10.1,502.421,17:10.1,330.901,17:10.1,1.9913
17:10.2,502.39,17:10.2,330.663,17:10.2,1.99069
17:10.3,502.372,17:10.3,330.727,17:10.3,1.99124
17:10.4,502.412,17:10.4,330.694,17:10.4,1.99094
17:10.5,502.319,17:10.5,330.779,17:10.5,1.99021
17:10.6,502.431,17:10.6,330.646,17:10.6,1.99141
17:10.7,502.407,17:10.7,330.725,17:10.7,1.99057
17:10.8,502.455,17:10.8,330.744,17:10.8,1.99117
17:10.9,502.386,17:10.9,330.912,17:10.9,1.99123
17:11.0,502.451,17:11.0,330.719,17:11.0,1.99059
17:11.1,502.469,17:11.1,330.616,17:11.1,1.99035
17:11.2,502.311,17:11.2,330.791,17:11.2,1.99099
17:11.3,502.455,17:11.3,330.69,17:11.3,1.99105
17:11.4,502.422,17:11.4,330.82,17:11.4,1.99043
17:11.5,502.359,17:11.5,330.842,17:11.5,1.99089
17:11.6,502.435,17:11.6,330.831,17:11.6,1.99106
17:11.7,502.384,17:11.7,330.665,17:11.7,1.99062
17:11.8,502.328,17:11.8,330.811,17:11.8,1.99113
17:11.9,502.397,17:11.9,330.749,17:11.9,1.99088
17:12.0,502.389,17:12.0,330.82,17:12.0,1.99088
17:12.1,502.422,17:12.1,330.711,17:12.1,1.99113
17:12.2,502.304,17:12.2,330.809,17:12.2,1.99109
17:12.3,502.369,17:12.3,330.867,17:12.3,1.99055
17:12.4,502.395,17:12.4,330.809,17:12.4,1.99133
17:12.5,502.367,17:12.5,330.83,17:12.5,1.9909
17:12.6,502.329,17:12.6,330.699,17:12.6,1.99069
17:12.7,502.402,17:12.7,330.686,17:12.7,1.99067
17:12.8,502.369,17:12.8,330.611,17:12.8,1.99092
17:12.9,502.305,17:12.9,330.678,17:12.9,1.99133
17:13.0,502.408,17:13.0,330.667,17:13.0,1.9906
17:13.1,502.301,17:13.1,330.74,17:13.1,1.99053
17:13.2,502.383,17:13.2,330.728,17:13.2,1.99074
17:13.3,502.197,17:13.3,330.639,17:13.3,1.9906
17:13.4,502.322,17:13.4,330.837,17:13.4,1.99103
17:13.5,502.306,17:13.5,330.75,17:13.5,1.99111
17:13.6,502.301,17:13.6,330.704,17:13.6,1.99096
17:13.7,502.39,17:13.7,330.532,17:13.7,1.99091
17:13.8,502.382,17:13.8,330.703,17:13.8,1.99059
17:13.9,502.34,17:13.9,330.794,17:13.9,1.99099
17:14.0,502.373,17:14.0,330.768,17:14.0,1.99113
17:14.1,502.392,17:14.1,330.56,17:14.1,1.99058
17:14.2,502.33,17:14.2,330.773,17:14.2,1.99083
17:14.3,502.276,17:14.3,330.634,17:14.3,1.99087
17:14.4,502.367,17:14.4,330.638,17:14.4,1.99154
17:14.5,502.404,17:14.5,330.74,17:14.5,1.99071
17:14.6,502.357,17:14.6,330.725,17:14.6,1.99067
17:14.7,502.382,17:14.7,330.813,17:14.7,1.99121
17:14.8,502.373,17:14.8,330.763,17:14.8,1.99121
17:14.9,502.211,17:14.9,330.804,17:14.9,1.9909
17:15.0,502.359,17:15.0,330.79,17:15.0,1.9904
17:15.1,502.331,17:15.1,330.801,17:15.1,1.99094
17:15.2,502.31,17:15.2,330.81,17:15.2,1.99113
17:15.3,502.252,17:15.3,330.66,17:15.3,1.99092
17:15.4,502.413,17:15.4,330.782,17:15.4,1.99092
17:15.5,502.3,17:15.5,330.607,17:15.5,1.9908
17:15.6,502.313,17:15.6,330.797,17:15.6,1.99142
17:15.7,502.316,17:15.7,330.788,17:15.7,1.99051
17:15.8,502.306,17:15.8,330.562,17:15.8,1.9912
17:15.9,502.359,17:15.9,330.736,17:15.9,1.99111
17:16.0,502.196,17:16.0,330.72,17:16.0,1.99106
17:16.1,502.374,17:16.1,330.733,17:16.1,1.99098
17:16.2,502.442,17:16.2,330.739,17:16.2,1.99077
17:16.3,502.423,17:16.3,330.795,17:16.3,1.99116
17:16.4,502.351,17:16.4,330.749,17:16.4,1.99065
17:16.5,502.262,17:16.5,330.494,17:16.5,1.99109
17:16.6,502.342,17:16.6,330.544,17:16.6,1.99104
17:16.7,502.376,17:16.7,330.563,17:16.7,1.99069
