Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
55:31.8,344.874,55:31.8,62.3637,55:31.8,0.195725
55:31.9,344.829,55:31.9,62.5253,55:31.9,0.195461
55:32.0,344.811,55:32.0,62.4559,55:32.0,0.195015
55:32.1,344.898,55:32.1,62.2615,55:32.1,0.195246
55:32.2,344.919,55:32.2,62.2329,55:32.2,0.195388
55:32.3,344.804,55:32.3,62.3118,55:32.3,0.195469
55:32.4,344.918,55:32.4,62.1418,55:32.4,0.195639
55:32.5,344.835,55:32.5,62.2732,55:32.5,0.195923
55:32.6,344.845,55:32.6,62.3553,55:32.6,0.195707
55:32.7,344.886,55:32.7,62.3134,55:32.7,0.19595
55:32.8,344.88,55:32.8,62.2542,55:32.8,0.195124
55:32.9,344.915,55:32.9,62.3302,55:32.9,0.195087
55:33.0,344.908,55:33.0,62.3453,55:33.0,0.195897
55:33.1,344.797,55:33.1,62.4229,55:33.1,0.195592
55:33.2,344.907,55:33.2,62.3729,55:33.2,0.195674
55:33.3,344.926,55:33.3,62.6258,55:33.3,0.195262
55:33.4,344.881,55:33.4,62.4292,55:33.4,0.194866
55:33.5,344.85,55:33.5,62.3171,55:33.5,0.195872
55:33.6,344.972,55:33.6,62.4324,55:33.6,0.195876
55:33.7,344.885,55:33.7,62.337,55:33.7,0.195378
55:33.8,344.842,55:33.8,62.3012,55:33.8,0.195611
55:33.9,344.93,55:33.9,62.4565,55:33.9,0.195965
55:34.0,344.893,55:34.0,62.4732,55:34.0,0.195565
55:34.1,344.908,55:34.1,62.2521,55:34.1,0.19592
55:34.2,344.964,55:34.2,62.3845,55:34.2,0.196121
55:34.3,344.883,55:34.3,62.3955,55:34.3,0.195189
55:34.4,344.852,55:34.4,62.4389,55:34.4,0.195808
55:34.5,344.864,55:34.5,62.3323,55:34.5,0.195824
55:34.6,344.923,55:34.6,62.4421,55:34.6,0.19528
55:34.7,344.948,55:34.7,62.2726,55:34.7,0.195383
55:34.8,344.922,55:34.8,62.4044,55:34.8,0.195649
55:34.9,344.878,55:34.9,62.5232,55:34.9,0.195595
55:35.0,344.899,55:35.0,62.2526,55:35.0,0.19578
55:35.1,344.898,55:35.1,62.415,55:35.1,0.195238
55:35.2,344.961,55:35.2,62.2331,55:35.2,0.195763
55:35.3,344.882,55:35.3,62.4011,55:35.3,0.195777
55:35.4,344.89,55:35.4,62.3602,55:35.4,0.195386
55:35.5,344.91,55:35.5,62.4503,55:35.5,0.195816
55:35.6,344.849,55:35.6,62.3568,55:35.6,0.195192
55:35.7,344.863,55:35.7,62.4035,55:35.7,0.195688
55:35.8,344.849,55:35.8,62.4208,55:35.8,0.195726
55:35.9,344.901,55:35.9,62.4129,55:35.9,0.19556
55:36.0,344.92,55:36.0,62.3413,55:36.0,0.195575
55:36.1,344.952,55:36.1,62.4296,55:36.1,0.195762
55:36.2,344.884,55:36.2,62.2937,55:36.2,0.1957
55:36.3,344.837,55:36.3,62.2477,55:36.3,0.195724
55:36.4,344.837,55:36.4,62.362,55:36.4,0.195542
55:36.5,344.869,55:36.5,62.2792,55:36.5,0.195752
55:36.6,344.941,55:36.6,62.4439,55:36.6,0.195928
55:36.7,344.918,55:36.7,62.4321,55:36.7,0.195806
55:36.8,344.896,55:36.8,62.3403,55:36.8,0.195614
55:36.9,344.857,55:36.9,62.2648,55:36.9,0.195756
55:37.0,344.89,55:37.0,62.3564,55:37.0,0.195428
55:37.1,344.949,55:37.1,62.3571,55:37.1,0.196245
55:37.2,344.879,55:37.2,62.2567,55:37.2,0.19535
55:37.3,344.835,55:37.3,62.473,55:37.3,0.19578
55:37.4,344.855,55:37.4,62.225,55:37.4,0.195833
55:37.5,344.822,55:37.5,62.3371,55:37.5,0.195425
55:37.6,344.909,55:37.6,62.2304,55:37.6,0.195348
55:37.7,344.875,55:37.7,62.321,55:37.7,0.195305
55:37.8,344.886,55:37.8,62.236,55:37.8,0.195222
55:37.9,344.876,55:37.9,62.501,55:37.9,0.195355
55:38.0,344.884,55:38.0,62.3251,55:38.0,0.195801
55:38.1,344.848,55:38.1,62.4413,55:38.1,0.195562
